id,ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl_usd,pnl_pct,exit_reason,tier
21,CVNA,2026-05-11,2026-05-12,78.0162222,76.2300033569336,36.0,-64.30387835039068,-2.289547984632365,time_stop,3
20,PR,2026-05-11,2026-05-12,20.095003,20.149999618530273,433.0,23.813535823609094,0.2736830570777971,time_stop,3
19,STC,2026-05-04,2026-05-12,69.21,68.0999984741211,130.0,-144.300198364257,-1.6038166823853492,time_stop,3
18,FCN,2026-05-04,2026-05-12,173.81,159.08999633789062,52.0,-765.4401904296876,-8.46902000006293,time_stop,3
17,CENTA,2026-05-04,2026-05-12,34.49,34.220001220703125,349.0,-94.22957397461008,-0.7828320652272455,time_stop,2
16,GMED,2026-05-08,2026-05-11,82.7884776,77.94999694824219,118.0,-570.9407169074211,-5.844388968154918,time_stop,3
15,NWN,2026-05-07,2026-05-11,48.84,50.439998626708984,211.0,337.599710235595,3.2760004641871023,profit_target,3
14,WDFC,2026-05-01,2026-05-11,212.5,208.0500030517578,16.0,-71.199951171875,-2.0941162109375,time_stop,3
13,PH,2026-05-01,2026-05-11,906.48,878.8300170898438,4.0,-110.59993164062507,-3.0502584624212634,time_stop,3
12,HTO,2026-05-01,2026-05-11,57.17,57.970001220703125,61.0,48.80007446289052,1.3993374509412686,time_stop,2
11,CVNA,2026-05-01,2026-05-11,77.994,77.94000244140625,9.0,-0.48597802734374795,-0.06923296483543577,time_stop,3
10,CHRW,2026-05-05,2026-05-08,165.8,171.3699951171875,63.0,350.9096923828118,3.359466295046736,profit_target,2
9,JLL,2026-05-04,2026-05-08,321.0,328.05999755859375,29.0,204.73992919921875,2.199376186477804,profit_target,3
8,FLS,2026-05-04,2026-05-07,71.4,73.37999725341797,126.0,249.47965393066335,2.773105396943926,profit_target,3
7,CRI,2026-05-04,2026-05-07,34.24,37.22999954223633,267.0,798.3298777770991,8.7324752985874,profit_target,3
6,SUPN,2026-05-01,2026-05-06,48.16,49.189998626708984,72.0,74.15990112304712,2.138701467418995,profit_target,2
5,KALU,2026-05-01,2026-05-06,170.76,175.9199981689453,20.0,103.19996337890643,3.0217838890520743,profit_target,3
4,AMKR,2026-05-01,2026-05-04,68.93,71.08999633789062,64.0,138.23976562499956,3.13360849831803,profit_target,3
