date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100130.51141164429,100130.51141164429,0.0
2004-10-27,100056.36588374074,100130.51141164429,-0.074048885657565
2004-10-27,100184.11927013492,100184.11927013492,0.0
2004-11-01,100293.7145793228,100293.7145793228,0.0
2004-11-03,100436.70713430126,100436.70713430126,0.0
2004-11-04,101477.4320584299,101477.4320584299,0.0
2004-11-04,101983.72516132938,101983.72516132938,0.0
2004-11-05,102163.07277904976,102163.07277904976,0.0
2004-11-05,102406.77170670147,102406.77170670147,0.0
2004-11-05,102424.45598585893,102424.45598585893,0.0
2004-11-08,102614.5959672633,102614.5959672633,0.0
2004-11-11,102796.6967170178,102796.6967170178,0.0
2004-11-15,103075.51974256709,103075.51974256709,0.0
2004-11-17,104693.5855409108,104693.5855409108,0.0
2004-11-19,104577.07804156496,104693.5855409108,-0.11128427662868887
2004-11-22,104826.67861605561,104826.67861605561,0.0
2004-11-24,105004.00584211154,105004.00584211154,0.0
2004-11-24,105227.81283292596,105227.81283292596,0.0
2004-11-24,107186.91823989493,107186.91823989493,0.0
2004-11-24,107431.79588030919,107431.79588030919,0.0
2004-11-24,107827.1760641361,107827.1760641361,0.0
2004-11-24,108388.42521596984,108388.42521596984,0.0
2004-11-24,108669.06766879681,108669.06766879681,0.0
2004-11-24,109022.67174703997,109022.67174703997,0.0
2004-11-24,108987.11572563944,109022.67174703997,-0.03261341960416919
2004-11-24,109396.68388345989,109396.68388345989,0.0
2004-11-26,109720.8336079303,109720.8336079303,0.0
2004-11-26,109948.93777367852,109948.93777367852,0.0
2004-11-26,109906.69685496046,109948.93777367852,-0.03841866922353523
2004-11-26,110101.72392457201,110101.72392457201,0.0
2004-11-26,109971.56864889045,110101.72392457201,-0.11821365828089267
2004-11-26,110203.81170803712,110203.81170803712,0.0
2004-11-26,110209.81341779204,110209.81341779204,0.0
2004-11-29,110168.79986596495,110209.81341779204,-0.0372140652045392
2004-11-29,110202.22588438677,110209.81341779204,-0.006884625942070599
2004-11-29,110203.70231688496,110209.81341779204,-0.005544969833059979
2004-11-29,109916.38906428279,110209.81341779204,-0.26624158449204294
2004-11-29,109717.13001943336,110209.81341779204,-0.44704131427115373
2004-11-29,109972.57591099782,110209.81341779204,-0.21525987517543535
2004-11-30,110587.24128090372,110587.24128090372,0.0
2004-11-30,110670.77459016637,110670.77459016637,0.0
2004-11-30,109926.7053761433,110670.77459016637,-0.6723267427904871
2004-11-30,109646.08679756988,110670.77459016637,-0.9258883353722753
2004-12-01,109929.78750609896,110670.77459016637,-0.6695417889785442
2004-12-02,110181.52774352684,110670.77459016637,-0.44207411437328875
2004-12-02,110465.3279244136,110670.77459016637,-0.18563768665537228
2004-12-02,110943.76232646158,110943.76232646158,0.0
2004-12-02,111033.13634376941,111033.13634376941,0.0
2004-12-06,111315.94388591779,111315.94388591779,0.0
2004-12-08,111372.58365261675,111372.58365261675,0.0
2004-12-09,111562.43801953769,111562.43801953769,0.0
2004-12-09,111614.09050996113,111614.09050996113,0.0
2004-12-10,112024.50707603806,112024.50707603806,0.0
2004-12-10,112376.09221517449,112376.09221517449,0.0
2004-12-10,112616.93269197486,112616.93269197486,0.0
2004-12-10,112564.91478584577,112616.93269197486,-0.046190128682833974
2004-12-10,112838.90941919952,112838.90941919952,0.0
2004-12-10,112484.16145364719,112838.90941919952,-0.3143844329746548
2004-12-10,112747.52208742639,112838.90941919952,-0.0809892015471611
2004-12-13,113366.00717106958,113366.00717106958,0.0
2004-12-13,113649.11844323226,113649.11844323226,0.0
2004-12-13,113924.61358209958,113924.61358209958,0.0
2004-12-13,114141.25890135353,114141.25890135353,0.0
2004-12-13,114445.16083002654,114445.16083002654,0.0
2004-12-13,114869.54011709352,114869.54011709352,0.0
2004-12-13,114849.97335246959,114869.54011709352,-0.01703390176715707
2004-12-13,115077.71407941119,115077.71407941119,0.0
2004-12-13,115352.09783454014,115352.09783454014,0.0
2004-12-14,115586.5329281582,115586.5329281582,0.0
2004-12-14,115893.86335387353,115893.86335387353,0.0
2004-12-14,116175.80169254656,116175.80169254656,0.0
2004-12-14,116505.94338272684,116505.94338272684,0.0
2004-12-14,117301.84517697713,117301.84517697713,0.0
2004-12-14,117688.04783313279,117688.04783313279,0.0
2004-12-14,118059.23848734832,118059.23848734832,0.0
2004-12-15,118534.86156103922,118534.86156103922,0.0
2004-12-15,118862.21412415763,118862.21412415763,0.0
2004-12-15,119340.72497999093,119340.72497999093,0.0
2004-12-16,119330.61366226996,119340.72497999093,-0.008472646468900316
2004-12-16,119446.58160949196,119446.58160949196,0.0
2004-12-16,119711.57619621613,119711.57619621613,0.0
2004-12-16,119049.88843180466,119711.57619621613,-0.5527349864034174
2004-12-16,119069.4773086459,119711.57619621613,-0.5363715924329523
2004-12-16,118747.55501913826,119711.57619621613,-0.8052865125572881
2004-12-16,118735.19754172995,119711.57619621613,-0.815609221355354
2004-12-16,118722.9822545698,119711.57619621613,-0.8258131527948128
2004-12-16,118721.8775039891,119711.57619621613,-0.8267359963624907
2004-12-17,118722.23310683202,119711.57619621613,-0.8264389466917614
2004-12-17,118859.94086449301,119711.57619621613,-0.7114059966324666
2004-12-17,118871.64820094651,119711.57619621613,-0.7016263772961432
2004-12-20,118483.66726090114,119711.57619621613,-1.0257228033672838
2004-12-20,118521.36631414885,119711.57619621613,-0.9942312346772894
2004-12-20,118513.67491397343,119711.57619621613,-1.0006561773769098
2004-12-20,118656.52632764234,119711.57619621613,-0.8813265200388755
2004-12-21,118621.6507143813,119711.57619621613,-0.910459553258541
2004-12-21,118610.9878037904,119711.57619621613,-0.9193667207436899
2004-12-22,118734.53636364477,119711.57619621613,-0.8161615305857479
2004-12-23,118810.73467076225,119711.57619621613,-0.7525099527361824
2004-12-23,119109.44751874589,119711.57619621613,-0.5029828330748167
2004-12-23,119345.92270687014,119711.57619621613,-0.30544538879569766
2004-12-23,119753.62100179344,119753.62100179344,0.0
2004-12-27,119814.60744691521,119814.60744691521,0.0
2004-12-28,120028.10499866244,120028.10499866244,0.0
2004-12-28,120203.74473025689,120203.74473025689,0.0
2004-12-28,120345.62356216703,120345.62356216703,0.0
2004-12-28,120496.71794134738,120496.71794134738,0.0
2004-12-28,120097.70862444471,120496.71794134738,-0.33113708300078887
2004-12-28,120429.80671135407,120496.71794134738,-0.05552950415286291
2004-12-28,120658.61802337116,120658.61802337116,0.0
2004-12-28,120957.84791692029,120957.84791692029,0.0
2004-12-29,121213.90313708424,121213.90313708424,0.0
2004-12-29,121377.42504301133,121377.42504301133,0.0
2004-12-29,121347.95242768618,121377.42504301133,-0.0242817931874153
2004-12-29,121481.32928320022,121481.32928320022,0.0
2004-12-29,121615.73114133991,121615.73114133991,0.0
2004-12-29,121368.7620292182,121615.73114133991,-0.20307332760652047
2004-12-30,121530.81775837373,121615.73114133991,-0.06982105207056048
2004-12-30,121632.76443791707,121632.76443791707,0.0
2004-12-30,121651.94853289718,121651.94853289718,0.0
2005-01-05,121016.90819542154,121651.94853289718,-0.5220141108581705
2005-01-06,121142.63139485983,121651.94853289718,-0.418667472391224
2005-01-07,121220.79608083131,121651.94853289718,-0.3544147523040117
2005-01-07,121318.89652318286,121651.94853289718,-0.27377449661174325
2005-01-07,121409.4264254591,121651.94853289718,-0.19935735544137173
2005-01-10,121548.3016381416,121651.94853289718,-0.0851995352360146
2005-01-10,121684.35663528692,121684.35663528692,0.0
2005-01-10,121826.49362712522,121826.49362712522,0.0
2005-01-10,121932.90717576286,121932.90717576286,0.0
2005-01-10,122147.26114878026,122147.26114878026,0.0
2005-01-12,122041.69019337527,122147.26114878026,-0.08642924484111647
2005-01-12,121730.19044657685,122147.26114878026,-0.34144908226424303
2005-01-12,121505.0418471139,122147.26114878026,-0.5257746228825524
2005-01-12,121307.84089316774,122147.26114878026,-0.6872198751882583
2005-01-12,121415.07924974115,122147.26114878026,-0.5994255558029185
2005-01-12,121225.61305947743,122147.26114878026,-0.7545384813665452
2005-01-12,121381.81521765274,122147.26114878026,-0.6266582843762529
2005-01-12,121147.65079831533,122147.26114878026,-0.8183649318566143
2005-01-12,120851.52501575455,122147.26114878026,-1.0607983517923116
