date,equity,peak,dd
2004-10-25,100080.54698004383,100080.54698004383,0.0
2004-10-27,100123.57607267512,100123.57607267512,0.0
2004-10-27,100053.37061685095,100123.57607267512,-0.07011880575780308
2004-10-27,100174.33522494644,100174.33522494644,0.0
2004-11-01,100278.10667084856,100278.10667084856,0.0
2004-11-03,100413.46344468294,100413.46344468294,0.0
2004-11-04,101398.88454494243,101398.88454494243,0.0
2004-11-04,101878.27337761664,101878.27337761664,0.0
2004-11-05,102048.0905143888,102048.0905143888,0.0
2004-11-05,102278.83935094584,102278.83935094584,0.0
2004-11-05,102295.58389258274,102295.58389258274,0.0
2004-11-08,102475.61988992919,102475.61988992919,0.0
2004-11-11,102648.04379064613,102648.04379064613,0.0
2004-11-15,102912.05013953886,102912.05013953886,0.0
2004-11-17,104444.13179905612,104444.13179905612,0.0
2004-11-19,104333.81551703182,104444.13179905612,-0.10562228832208878
2004-11-22,104570.1522981244,104570.1522981244,0.0
2004-11-24,104738.05634198191,104738.05634198191,0.0
2004-11-24,104949.9702123848,104949.9702123848,0.0
2004-11-24,106804.9686099204,106804.9686099204,0.0
2004-11-24,107036.83343401046,107036.83343401046,0.0
2004-11-24,107411.20308497833,107411.20308497833,0.0
2004-11-24,107942.62741445357,107942.62741445357,0.0
2004-11-24,108208.35650612095,108208.35650612095,0.0
2004-11-24,108543.17003691405,108543.17003691405,0.0
2004-11-24,108509.50346517876,108543.17003691405,-0.031016757409829173
2004-11-24,108897.30714012955,108897.30714012955,0.0
2004-11-26,109204.23152373609,109204.23152373609,0.0
2004-11-26,109420.21421687193,109420.21421687193,0.0
2004-11-26,109380.21798376793,109420.21421687193,-0.036552874064683924
2004-11-26,109564.8813001564,109564.8813001564,0.0
2004-11-26,109441.6424856642,109564.8813001564,-0.11248021540276583
2004-11-26,109661.54413109036,109661.54413109036,0.0
2004-11-26,109667.22690953518,109667.22690953518,0.0
2004-11-29,109628.39282095277,109667.22690953518,-0.03541084212373575
2004-11-29,109660.04257822868,109667.22690953518,-0.006551028515045896
2004-11-29,109661.44055299228,109667.22690953518,-0.005276286002629502
2004-11-29,109389.39514835407,109667.22690953518,-0.2533407372562556
2004-11-29,109200.7247442118,109667.22690953518,-0.42537974057482486
2004-11-29,109442.596221787,109667.22690953518,-0.20482936796923146
2004-11-30,110024.59822746781,110024.59822746781,0.0
2004-11-30,110103.69257036118,110103.69257036118,0.0
2004-11-30,109399.16325062243,110103.69257036118,-0.6398780125276228
2004-11-30,109133.45676452896,110103.69257036118,-0.8812018772324002
2004-12-01,109402.08159595923,110103.69257036118,-0.6372274698721733
2004-12-02,109640.4443381388,110103.69257036118,-0.42073814366066253
2004-12-02,109909.16335595814,110103.69257036118,-0.17667819294863904
2004-12-02,110362.17371771196,110362.17371771196,0.0
2004-12-02,110446.77979395697,110446.77979395697,0.0
2004-12-06,110714.55892193553,110714.55892193553,0.0
2004-12-08,110768.17024812373,110768.17024812373,0.0
2004-12-09,110947.93573963361,110947.93573963361,0.0
2004-12-09,110996.80621475814,110996.80621475814,0.0
2004-12-10,111385.4131449128,111385.4131449128,0.0
2004-12-10,111718.31496443193,111718.31496443193,0.0
2004-12-10,111946.35711984735,111946.35711984735,0.0
2004-12-10,111897.10344918248,111946.35711984735,-0.04399756448719278
2004-12-10,112156.5379412261,112156.5379412261,0.0
2004-12-10,111820.64130938191,112156.5379412261,-0.29948912297935154
2004-12-10,112070.00689516905,112156.5379412261,-0.07715203022974235
2004-12-13,112655.62542813853,112655.62542813853,0.0
2004-12-13,112923.69195718833,112923.69195718833,0.0
2004-12-13,113184.54707991837,113184.54707991837,0.0
2004-12-13,113389.67981433112,113389.67981433112,0.0
2004-12-13,113677.43232063341,113677.43232063341,0.0
